"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"12991",12991,1.02,"Ideal","G","SI1",61.5,57,5398,6.54,6.44,3.99
"28671",28671,0.24,"Ideal","F","VVS2",61.7,55,678,3.99,4.02,2.47
"3926",3926,0.74,"Ideal","E","SI1",60.8,56,3497,5.85,5.89,3.57
"41515",41515,0.44,"Ideal","D","VS1",61.3,56,1235,4.87,4.92,3
"40798",40798,0.43,"Ideal","F","VVS2",62.2,55,1169,4.83,4.85,3.01
"39262",39262,0.38,"Ideal","E","VS1",61.6,56,1069,4.66,4.62,2.86
"8085",8085,1.01,"Premium","D","SI2",62.6,60,4338,6.4,6.37,4
"23774",23774,1.22,"Premium","F","VVS1",61.9,58,11830,6.85,6.81,4.23
"16419",16419,1.17,"Ideal","H","VS2",62.4,58,6558,6.73,6.71,4.19
"12743",12743,0.91,"Good","F","VVS2",64,61,5317,6.06,6.13,3.9
"32795",32795,0.31,"Ideal","D","VS2",60.2,56,804,4.46,4.41,2.67
"6997",6997,1,"Good","F","SI2",63.8,58,4155,6.33,6.28,4.02
"25657",25657,2.01,"Premium","I","SI1",60.1,59,14558,8.24,8.19,4.94
"6363",6363,0.32,"Ideal","I","VS2",63,57,576,4.37,4.33,2.74
"16589",16589,1.02,"Premium","F","VS2",61.8,56,6626,6.54,6.46,4.02
"44193",44193,0.51,"Very Good","D","SI1",62.3,57,1569,5.08,5.13,3.18
"26056",26056,2,"Ideal","I","SI1",62.8,56,15258,8.04,7.95,5.02
"8160",8160,1.1,"Good","D","SI2",57,62,4361,6.91,6.84,3.92
"45805",45805,0.5,"Premium","F","VS1",62,58,1710,5.03,5.1,3.14
"7410",7410,0.33,"Very Good","E","SI1",60.6,60,579,4.41,4.44,2.68
"38972",38972,0.4,"Very Good","E","VS1",62.8,59,1053,4.63,4.67,2.92
"17238",17238,1.42,"Very Good","I","VS1",60.1,65,6894,7.28,7.2,4.35
"34534",34534,0.33,"Very Good","G","VVS1",62.8,59,868,4.38,4.44,2.77
"13754",13754,1,"Premium","F","VS2",61.9,59,5606,6.38,6.34,3.94
"4349",4349,0.72,"Ideal","E","VS2",61.5,56,3601,5.77,5.81,3.56
"9462",9462,0.9,"Very Good","G","VS2",62.5,57,4600,6.12,6.14,3.83
"50317",50317,1.06,"Fair","I","I1",64.5,57,2239,6.47,6.33,4.13
"34531",34531,0.33,"Ideal","G","VVS1",62,56,868,4.45,4.48,2.77
"47965",47965,0.52,"Ideal","D","VS2",61.8,57,1919,5.2,5.16,3.2
